"Date","CUST","SKU","SALES","Forecast_Type"
2014-04-20,"7577","12GL",0,"ACTUAL"
2014-04-21,"7577","12GL",4,"ACTUAL"
2014-04-22,"7577","12GL",0,"ACTUAL"
2014-04-23,"7577","12GL",3,"ACTUAL"
2014-04-24,"7577","12GL",0,"ACTUAL"
2014-04-25,"7577","12GL",5,"ACTUAL"
2014-04-26,"7577","12GL",0,"ACTUAL"
2014-04-27,"7577","12GL",7,"ACTUAL"
2014-04-28,"7577","12GL",0,"ACTUAL"
2014-04-29,"7577","12GL",7,"ACTUAL"
2014-04-30,"7577","12GL",0,"ACTUAL"
2014-05-01,"7577","12GL",0,"ACTUAL"
2014-05-02,"7577","12GL",0,"ACTUAL"
2014-05-03,"7577","12GL",0,"ACTUAL"
2014-05-04,"7577","12GL",3,"ACTUAL"
2014-05-05,"7577","12GL",7,"ACTUAL"
2014-05-06,"7577","12GL",0,"ACTUAL"
2014-05-07,"7577","12GL",0,"ACTUAL"
2014-05-08,"7577","12GL",0,"ACTUAL"
2014-05-09,"7577","12GL",0,"ACTUAL"
2014-05-10,"7577","12GL",0,"ACTUAL"
2014-05-11,"7577","12GL",6,"ACTUAL"
2014-05-12,"7577","12GL",4,"ACTUAL"
2014-05-13,"7577","12GL",0,"ACTUAL"
2014-05-14,"7577","12GL",0,"ACTUAL"
2014-05-15,"7577","12GL",5,"ACTUAL"
2014-05-16,"7577","12GL",0,"ACTUAL"
2014-05-17,"7577","12GL",4,"ACTUAL"
2014-05-18,"7577","12GL",0,"ACTUAL"
2014-05-19,"7577","12GL",6,"ACTUAL"
2014-05-20,"7577","12GL",0,"ACTUAL"
2014-05-21,"7577","12GL",4,"ACTUAL"
2014-05-22,"7577","12GL",0,"ACTUAL"
2014-05-23,"7577","12GL",5,"ACTUAL"
2014-05-24,"7577","12GL",0,"ACTUAL"
2014-05-25,"7577","12GL",8,"ACTUAL"
2014-05-26,"7577","12GL",0,"ACTUAL"
2014-05-27,"7577","12GL",8,"ACTUAL"
2014-05-28,"7577","12GL",0,"ACTUAL"
2014-05-29,"7577","12GL",8,"ACTUAL"
2014-05-30,"7577","12GL",0,"ACTUAL"
2014-05-31,"7577","12GL",4,"ACTUAL"
2014-06-01,"7577","12GL",4,"ACTUAL"
2014-06-02,"7577","12GL",7,"ACTUAL"
2014-06-03,"7577","12GL",6,"ACTUAL"
2014-06-04,"7577","12GL",0,"ACTUAL"
2014-06-05,"7577","12GL",0,"ACTUAL"
2014-06-06,"7577","12GL",8,"ACTUAL"
2014-06-07,"7577","12GL",4,"ACTUAL"
2014-06-08,"7577","12GL",0,"ACTUAL"
2014-06-09,"7577","12GL",6,"ACTUAL"
2014-06-10,"7577","12GL",0,"ACTUAL"
2014-06-11,"7577","12GL",0,"ACTUAL"
2014-06-12,"7577","12GL",0,"ACTUAL"
2014-06-13,"7577","12GL",0,"ACTUAL"
2014-06-14,"7577","12GL",6,"ACTUAL"
2014-06-15,"7577","12GL",0,"ACTUAL"
2014-06-16,"7577","12GL",4,"ACTUAL"
2014-06-17,"7577","12GL",0,"ACTUAL"
2014-06-18,"7577","12GL",7,"ACTUAL"
2014-06-19,"7577","12GL",0,"ACTUAL"
