Date,CUST,SKU,SALES,Forecast_Type
5/4/2014,7577,12GL,3,ACTUAL
5/5/2014,7577,12GL,7,ACTUAL
5/6/2014,7577,12GL,0,ACTUAL
5/7/2014,7577,12GL,0,ACTUAL
5/8/2014,7577,12GL,0,ACTUAL
5/9/2014,7577,12GL,0,ACTUAL
5/10/2014,7577,12GL,0,ACTUAL
5/11/2014,7577,12GL,6,ACTUAL
5/12/2014,7577,12GL,4,ACTUAL
5/13/2014,7577,12GL,0,ACTUAL
5/14/2014,7577,12GL,0,ACTUAL
5/15/2014,7577,12GL,5,ACTUAL
5/16/2014,7577,12GL,0,ACTUAL
5/17/2014,7577,12GL,4,ACTUAL
5/18/2014,7577,12GL,0,ACTUAL
5/19/2014,7577,12GL,6,ACTUAL
5/20/2014,7577,12GL,0,ACTUAL
5/21/2014,7577,12GL,4,ACTUAL
5/22/2014,7577,12GL,0,ACTUAL
5/23/2014,7577,12GL,5,ACTUAL
5/24/2014,7577,12GL,0,ACTUAL
5/25/2014,7577,12GL,8,ACTUAL
5/26/2014,7577,12GL,0,ACTUAL
5/27/2014,7577,12GL,8,ACTUAL
5/28/2014,7577,12GL,0,ACTUAL
5/29/2014,7577,12GL,8,ACTUAL
5/30/2014,7577,12GL,0,ACTUAL
5/31/2014,7577,12GL,4,ACTUAL
6/1/2014,7577,12GL,4,ACTUAL
6/2/2014,7577,12GL,7,ACTUAL
6/3/2014,7577,12GL,6,ACTUAL
6/4/2014,7577,12GL,0,ACTUAL
6/5/2014,7577,12GL,0,ACTUAL
6/6/2014,7577,12GL,8,ACTUAL
6/7/2014,7577,12GL,4,ACTUAL
6/8/2014,7577,12GL,0,ACTUAL
6/9/2014,7577,12GL,6,ACTUAL
6/10/2014,7577,12GL,0,ACTUAL
6/11/2014,7577,12GL,0,ACTUAL
6/12/2014,7577,12GL,0,ACTUAL
6/13/2014,7577,12GL,0,ACTUAL
6/14/2014,7577,12GL,6,ACTUAL
6/15/2014,7577,12GL,0,ACTUAL
6/16/2014,7577,12GL,4,ACTUAL
6/17/2014,7577,12GL,0,ACTUAL
6/18/2014,7577,12GL,7,ACTUAL
6/19/2014,7577,12GL,0,ACTUAL
6/20/2014,7577,12GL,4,ACTUAL
6/21/2014,7577,12GL,0,ACTUAL
6/22/2014,7577,12GL,4,ACTUAL
6/23/2014,7577,12GL,0,ACTUAL
6/24/2014,7577,12GL,7,ACTUAL
6/25/2014,7577,12GL,0,ACTUAL
6/26/2014,7577,12GL,5,ACTUAL
6/27/2014,7577,12GL,0,ACTUAL
6/28/2014,7577,12GL,4,ACTUAL
6/29/2014,7577,12GL,0,ACTUAL
6/30/2014,7577,12GL,9,ACTUAL
7/1/2014,7577,12GL,0,ACTUAL
7/2/2014,7577,12GL,0,ACTUAL
7/3/2014,7577,12GL,0,ACTUAL
7/4/2014,7577,12GL,6,ACTUAL
7/5/2014,7577,12GL,5,ACTUAL
7/6/2014,7577,12GL,0,ACTUAL
7/7/2014,7577,12GL,0,ACTUAL
7/8/2014,7577,12GL,3,ACTUAL
7/9/2014,7577,12GL,0,ACTUAL
7/10/2014,7577,12GL,0,ACTUAL
7/11/2014,7577,12GL,5,ACTUAL
7/12/2014,7577,12GL,8,ACTUAL
7/13/2014,7577,12GL,0,ACTUAL
7/14/2014,7577,12GL,7,ACTUAL
7/15/2014,7577,12GL,0,ACTUAL
7/16/2014,7577,12GL,3,ACTUAL
7/17/2014,7577,12GL,0,ACTUAL
7/18/2014,7577,12GL,5,ACTUAL
7/19/2014,7577,12GL,0,ACTUAL
7/20/2014,7577,12GL,7,ACTUAL
7/21/2014,7577,12GL,0,ACTUAL
7/22/2014,7577,12GL,7,ACTUAL
7/23/2014,7577,12GL,0,ACTUAL
7/24/2014,7577,12GL,1,ACTUAL
7/25/2014,7577,12GL,0,ACTUAL
7/26/2014,7577,12GL,6,ACTUAL
7/27/2014,7577,12GL,0,ACTUAL
7/28/2014,7577,12GL,4,ACTUAL
7/29/2014,7577,12GL,0,ACTUAL
7/30/2014,7577,12GL,6,ACTUAL
7/31/2014,7577,12GL,0,ACTUAL
8/1/2014,7577,12GL,7,ACTUAL
8/2/2014,7577,12GL,6,ACTUAL
8/3/2014,7577,12GL,3,ACTUAL
8/4/2014,7577,12GL,0,ACTUAL
8/5/2014,7577,12GL,0,ACTUAL
8/6/2014,7577,12GL,3,ACTUAL
8/7/2014,7577,12GL,6,ACTUAL
8/8/2014,7577,12GL,0,ACTUAL
8/9/2014,7577,12GL,7,ACTUAL
8/10/2014,7577,12GL,8,ACTUAL
8/11/2014,7577,12GL,0,ACTUAL
8/12/2014,7577,12GL,0,ACTUAL
8/13/2014,7577,12GL,8,ACTUAL
8/14/2014,7577,12GL,0,ACTUAL
8/15/2014,7577,12GL,0,ACTUAL
8/16/2014,7577,12GL,0,ACTUAL
8/17/2014,7577,12GL,5,ACTUAL
8/18/2014,7577,12GL,0,ACTUAL
8/19/2014,7577,12GL,6,ACTUAL
